qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,129085,320642,449727
fc_a_001,ABD,2711,1531,4242
fc_a_002,AD,1855,2441,4296
fc_a_003,A,826,2555,3381
fc_a_004,AC,3363,5355,8718
fc_a_005,ABD,2693,2550,5243
fc_a_006,A,1346,1661,3007
fc_a_007,D,1781,5904,7685
fc_a_008,D,1881,3298,5179
fc_a_009,B,1697,4691,6388
fc_a_010,A,2970,3792,6762
fc_a_011,AB,1604,4235,5839
fc_a_012,AC,3020,4156,7176
fc_a_013,B,1598,3062,4660
fc_a_014,B,1351,3313,4664
fc_a_015,A,1570,8040,9610
fc_a_016,AC,1629,2243,3872
fc_a_017,A,2564,4249,6813
fc_a_018,B,1516,5362,6878
fc_a_019,B,2913,3691,6604
fc_a_020,D,2338,5490,7828
fin_a_001,AB,4201,5894,10095
fin_a_002,A,3068,12639,15707
fin_a_003,A,3039,2787,5826
fin_a_004,ABD,2745,4861,7606
fin_a_005,AD,3001,3892,6893
fin_a_006,B,2018,18395,20413
fin_a_007,D,3056,6355,9411
fin_a_008,B,3358,6351,9709
fin_a_009,AC,3851,3568,7419
fin_a_010,A,3853,2784,6637
fin_a_011,D,2082,3586,5668
fin_a_012,D,4613,6449,11062
fin_a_013,A,3150,7009,10159
fin_a_014,D,2463,13220,15683
fin_a_015,A,2985,4081,7066
fin_a_016,ABD,3673,3450,7123
fin_a_017,AC,3504,3091,6595
fin_a_018,B,1702,5005,6707
fin_a_019,AB,2926,3253,6179
fin_a_020,B,2485,5303,7788
ins_a_001,B,971,15542,16513
ins_a_002,A,973,3750,4723
ins_a_003,D,1809,15049,16858
ins_a_004,A,1451,2738,4189
ins_a_005,ABC,584,3227,3811
ins_a_006,A,1891,17117,19008
ins_a_007,A,1044,4636,5680
ins_a_008,C,1744,3685,5429
ins_a_009,C,824,2902,3726
ins_a_010,AB,1175,6017,7192
ins_a_011,BC,1898,4204,6102
ins_a_012,A,1608,4622,6230
ins_a_013,C,1146,6333,7479
ins_a_014,D,1243,6371,7614
ins_a_015,B,835,5519,6354
ins_a_016,CD,753,4906,5659
ins_a_017,ABC,1363,3640,5003
ins_a_018,BC,1726,3645,5371
ins_a_019,A,696,2677,3373
ins_a_020,D,2352,4470,6822
