qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,877203,508984,1386187
fc_a_001,AB,10502,2170,12672
fc_a_002,ABD,11026,4486,15512
fc_a_003,A,10325,2152,12477
fc_a_004,,11672,23429,35101
fc_a_005,AB,10661,2784,13445
fc_a_006,A,8626,1787,10413
fc_a_007,BD,11226,4564,15790
fc_a_008,D,10956,6146,17102
fc_a_009,D,10831,6070,16901
fc_a_010,A,9363,11052,20415
fc_a_011,ABD,9940,2475,12415
fc_a_012,AC,11091,5492,16583
fc_a_013,B,10853,2238,13091
fc_a_014,BC,9949,3184,13133
fc_a_015,,11549,21968,33517
fc_a_016,ABC,10558,2741,13299
fc_a_017,AD,11342,4814,16156
fc_a_018,B,10735,3823,14558
fc_a_019,D,12934,4046,16980
fc_a_020,,10343,22662,33005
fin_a_001,AB,12059,2573,14632
fin_a_002,AB,13042,5211,18253
fin_a_003,A,11582,1284,12866
fin_a_004,ABD,12364,1925,14289
fin_a_005,AD,9910,3133,13043
fin_a_006,A,11831,3716,15547
fin_a_007,BD,12598,3585,16183
fin_a_008,B,11403,10470,21873
fin_a_009,AC,10440,2404,12844
fin_a_010,A,10467,3297,13764
fin_a_011,,12146,22407,34553
fin_a_012,D,11399,12602,24001
fin_a_013,A,10570,8832,19402
fin_a_014,B,12644,6267,18911
fin_a_015,A,11798,8053,19851
fin_a_016,ABD,11238,7070,18308
fin_a_017,AC,12075,1894,13969
fin_a_018,,12115,23379,35494
fin_a_019,AB,11721,2621,14342
fin_a_020,AB,11783,5456,17239
ins_a_001,B,10104,5574,15678
ins_a_002,A,10099,2912,13011
ins_a_003,B,11230,8277,19507
ins_a_004,A,10774,2728,13502
ins_a_005,ABC,10495,2390,12885
ins_a_006,C,10884,4752,15636
ins_a_007,C,10665,4586,15251
ins_a_008,AC,9530,3884,13414
ins_a_009,C,9604,6596,16200
ins_a_010,A,11583,8366,19949
ins_a_011,BC,10254,6109,16363
ins_a_012,A,10662,7597,18259
ins_a_013,A,10219,2527,12746
ins_a_014,AB,11058,6812,17870
ins_a_015,AB,10211,5775,15986
ins_a_016,CD,8496,6671,15167
ins_a_017,ABCD,10441,3102,13543
ins_a_018,BC,11775,2892,14667
ins_a_019,ABD,8885,5432,14317
ins_a_020,D,11090,14245,25335
reg_a_001,ACD,329,4091,4420
reg_a_002,CD,301,2031,2332
reg_a_003,A,209,1717,1926
reg_a_004,D,308,3356,3664
reg_a_005,CD,317,3120,3437
reg_a_006,A,210,2597,2807
reg_a_007,BCD,327,3546,3873
reg_a_008,B,309,8942,9251
reg_a_009,BD,326,4246,4572
reg_a_010,B,238,1564,1802
reg_a_011,AC,286,2848,3134
reg_a_012,ABD,266,1577,1843
reg_a_013,A,195,1377,1572
reg_a_014,ABD,257,1900,2157
reg_a_015,C,265,2116,2381
reg_a_016,ABD,284,2438,2722
reg_a_017,AB,261,2225,2486
reg_a_018,A,210,807,1017
reg_a_019,BD,295,2469,2764
reg_a_020,AB,282,2509,2791
res_a_001,ABC,9018,1256,10274
res_a_002,AC,11258,3840,15098
res_a_003,A,9113,5220,14333
res_a_004,AB,10724,4034,14758
res_a_005,ABC,9834,1560,11394
res_a_006,B,11554,3219,14773
res_a_007,B,7923,4136,12059
res_a_008,A,9404,5872,15276
res_a_009,A,8656,4463,13119
res_a_010,A,9623,626,10249
res_a_011,C,8479,6436,14915
res_a_012,AC,10907,1322,12229
res_a_013,B,10884,765,11649
res_a_014,ABC,11395,1572,12967
res_a_015,A,12488,1889,14377
res_a_016,ACD,11871,2696,14567
res_a_017,A,11676,6298,17974
res_a_018,A,15095,6688,21783
res_a_019,AB,12605,2230,14835
res_a_020,ABD,13495,3897,17392
